"id","year","EMPL","AV","STAF","TURN","TOAS","nacerev1primarycode","year_inc","industry_code","industry","industry_factor"
"PL5205",1997,290,2663,1639,9055,10791,4030,"1975",40,1,"manufacturing"
"PL5205",2000,201,3370,1926,8286,11114,4030,"1975",40,1,"manufacturing"
"PL5205",1999,211,2801,1878,8088,11976,4030,"1975",40,1,"manufacturing"
"PL5206",1999,83,3248,1694,15860,3341,7210,"1991",72,2,"services"
"PL5206",2000,93,2277,1805,13421,4712,7210,"1991",72,2,"services"
"PL5206",1998,81,1551,878,10150,2454,7210,"1991",72,2,"services"
"PL5206",1996,40,457,311,7978,2235,7210,"1991",72,2,"services"
"PL5206",1997,76,1105,692,7948,2068,7210,"1991",72,2,"services"
"PL5211",1999,564,1136,414,7627,11679,2522,"1992",25,1,"manufacturing"
"PL5232",1996,74,530,494,3640,953,4010,"1991",40,1,"manufacturing"
"PL5233",2000,247,2600,1458,6859,4815,2953,"1951",29,1,"manufacturing"
"PL5233",1999,256,2945,1459,6721,4748,2953,"1951",29,1,"manufacturing"
"PL5233",1998,258,3452,1332,8283,4491,2953,"1951",29,1,"manufacturing"
"PL5233",1997,245,2876,1082,6955,3438,2953,"1951",29,1,"manufacturing"
"PL5239",2001,278,14678,5348,49121,19310,1583,"1989",15,1,"manufacturing"
"PL5239",1999,385,3891,2966,24984,15765,1583,"1989",15,1,"manufacturing"
"PL5239",1998,408,9652,3017,33420,18540,1583,"1989",15,1,"manufacturing"
"PL5239",2000,279,4875,3043,24209,14599,1583,"1989",15,1,"manufacturing"
"PL5239",1997,625,6793,2978,31901,17422,1583,"1989",15,1,"manufacturing"
"PL5245",2000,979,1352,3416,9519,7500,1772,"1972",17,1,"manufacturing"
"PL5245",2001,979,4374,3672,10609,7070,1772,"1972",17,1,"manufacturing"
"PL5258",1996,132,9565,1285,67461,59337,2872,"1992",28,1,"manufacturing"
"PL5261",1996,471,1444,1611,12140,9748,2626,"1912",26,1,"manufacturing"
"PL5266",1996,690,3389,2486,10400,11564,2940,"1945",29,1,"manufacturing"
"PL5266",1997,499,1738,1964,8001,9032,2940,"1945",29,1,"manufacturing"
"PL5266",1999,307,2863,2277,12864,13122,2940,"1945",29,1,"manufacturing"
"PL5274",1998,47,419,240,932,4906,4100,"1992",41,1,"manufacturing"
"PL5283",1998,757,3881,2377,13477,7802,1771,"1967",17,1,"manufacturing"
"PL5283",1999,700,2714,2793,10234,7862,1771,"1967",17,1,"manufacturing"
"PL5293",2001,120,698,639,3532,1934,4521,"1991",45,1,"manufacturing"
"PL5293",1996,148,651,605,5121,1186,4521,"1991",45,1,"manufacturing"
"PL5293",1997,176,742,677,4142,1104,4521,"1991",45,1,"manufacturing"
"PL5298",1999,551,11660,4874,31735,14343,1582,"1892",15,1,"manufacturing"
"PL5313",2000,4,155,51,303,1632,7020,"1920",70,2,"services"
"PL5313",1999,4,75,37,229,447,7020,"1920",70,2,"services"
"PL5313",2001,4,74,52,137,1687,7020,"1920",70,2,"services"
"PL5317",1996,108,2111,199,28547,6624,5144,"1990",51,2,"services"
"PL5317",1999,200,4841,555,32895,15279,5144,"1990",51,2,"services"
"PL5317",1997,164,2692,296,31233,9320,5144,"1990",51,2,"services"
"PL5317",2001,227,3054,1092,29019,19827,5144,"1990",51,2,"services"
"PL5321",2000,268,2539,1900,99653,37015,5146,"1992",51,2,"services"
"PL5325",1998,121,451,392,3730,659,3663,"1990",36,1,"manufacturing"
"PL5325",1997,136,459,405,4008,718,3663,"1990",36,1,"manufacturing"
"PL5325",1999,132,480,433,3041,518,3663,"1990",36,1,"manufacturing"
"PL5325",2000,123,484,455,3206,507,3663,"1990",36,1,"manufacturing"
"PL5325",2001,123,554,527,3420,476,3663,"1990",36,1,"manufacturing"
"PL5327",1998,137,1515,772,19005,4931,5170,"1945",51,2,"services"
"PL5327",2001,133,1670,909,19933,5805,5170,"1945",51,2,"services"
"PL5327",2000,133,1561,849,18932,5364,5170,"1945",51,2,"services"
"PL5327",1999,137,1503,904,18023,4684,5170,"1945",51,2,"services"
"PL5327",1997,135,1299,687,16205,4387,5170,"1945",51,2,"services"
"PL5344",2000,330,2398,1939,6465,2900,4521,"1956",45,1,"manufacturing"
"PL5344",1999,325,1957,1717,5233,2863,4521,"1956",45,1,"manufacturing"
"PL5357",2000,303,1718,1433,5062,5381,2922,"1949",29,1,"manufacturing"
"PL5360",1996,345,3061,2110,7988,12999,2413,"1969",24,1,"manufacturing"
"PL5360",1999,294,3434,2326,7827,9104,2413,"1969",24,1,"manufacturing"
